,,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4
CCWF,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,226.50,180.20,160.00,180.60,193.00,183.00,173.00,161.00,176.50,173.00
CCWF,Contraband,Cellular Telephone Seizure Events,,,,4.00,8.00,12.00,14.00,8.00,24.00,20.00
CCWF,Contraband,Controlled Medication Seizure Events,,,,,,,1.00,,,
CCWF,Contraband,Fentanyl Seizure Events,,,,,,,4.00,,,2.00
CCWF,Contraband,Heroin Seizure Events,,,,2.00,,2.00,2.00,,2.00,
CCWF,Contraband,Honey Oil Seizure Events,,,,,,,12.00,,,
CCWF,Contraband,Marijuana Seizure Events,,,,2.00,4.00,8.00,8.00,,,2.00
CCWF,Contraband,MDMA / Ecstasy Seizure Events,,,,,,,,,,2.00
CCWF,Contraband,Methamphetamine Seizure Events,,,,34.00,14.00,14.00,14.00,10.00,16.00,10.00
CCWF,Contraband,Quantity of Cellular Telephones Seized,,,,4.00,8.00,12.00,18.00,10.00,38.00,36.00
CCWF,Contraband,Quantity of Controlled Medication Seized (pills),,,,,,,2.00,,,
CCWF,Contraband,Quantity of Fentanyl Seized (grams with packaging),,,,,,,19.40,,,29.00
CCWF,Contraband,Quantity of Fentanyl Seized (grams),,,,,,,1.80,,,
CCWF,Contraband,Quantity of Heroin Seized (grams with packaging),,,,5.00,,0.60,3.00,,54.00,
CCWF,Contraband,Quantity of Honey Oil Seized (grams with packaging),,,,,,,"4,204.60",,,
CCWF,Contraband,Suboxone Seizure Events,,,,2.00,2.00,2.00,2.00,2.00,,2.00
CCWF,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,,2.00,4.00,4.00,16.00,,2.00
CCWF,Contraband,Tobacco Seizure Events,,,,2.00,,,2.00,2.00,,2.00
CCWF,Fiscal,Actual Expenditures ($),"16,101,488.57","30,066,969.94","46,026,116.16","60,018,458.25","76,446,140.81","91,984,104.52","107,095,297.47","121,697,879.08","138,024,168.84","153,129,710.68"
CCWF,Fiscal,Institution Budget ($),"183,856,159.00","183,871,031.00","184,321,828.00","184,983,160.00","185,770,383.00","179,187,621.00","179,737,395.00","180,559,583.00","180,686,292.00","185,272,121.00"
CCWF,Incarcerated Persons Grievances and Appeals,Appeals Denied,44.00,24.00,20.00,29.00,16.00,21.00,20.00,15.00,25.00,
CCWF,Incarcerated Persons Grievances and Appeals,Appeals Granted,12.00,8.00,7.00,7.00,2.00,4.00,4.00,2.00,2.00,
CCWF,Incarcerated Persons Grievances and Appeals,Appeals Received,69.00,57.00,51.00,53.00,24.00,52.00,43.00,32.00,58.00,
CCWF,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,5.00,19.00,20.00,13.00,5.00,24.00,17.00,14.00,27.00,
