Year,Month,Location,Age Group,Population
2025,Feb,ASP,50-54 Years,474
2025,Feb,ASP,55-59 Years,379
2025,Feb,ASP,60-64 Years,273
2025,Feb,ASP,65-69 Years,*
2025,Feb,ASP,70-74 Years,(Blank)
2025,Feb,ASP,75-79 Years,(Blank)
2025,Feb,ASP,80-84 Years,(Blank)
2025,Feb,ASP,85-89 Years,(Blank)
2025,Feb,ASP,90-94 Years,(Blank)
2025,Feb,ASP,95 and Older,(Blank)
2025,Feb,CIW,18-24 Years,69
2025,Feb,CIW,25-29 Years,146
2025,Feb,CIW,30-34 Years,237
2025,Feb,CIW,35-39 Years,226
2025,Feb,CIW,40-44 Years,173
2025,Feb,CIW,45-49 Years,128
2025,Feb,CIW,50-54 Years,64
2025,Feb,CIW,55-59 Years,64
2025,Feb,CIW,60-64 Years,64
2025,Feb,CIW,65-69 Years,35
2025,Feb,CIW,70-74 Years,15
2025,Feb,CIW,75-79 Years,14
2025,Feb,CIW,80-84 Years,*
2025,Feb,CIW,85-89 Years,(Blank)
2025,Feb,CIW,90-94 Years,*
2025,Feb,CIW,95 and Older,(Blank)
2025,Feb,CMC,18-24 Years,55
2025,Feb,CMC,25-29 Years,198
2025,Feb,CMC,30-34 Years,383
2025,Feb,CMC,35-39 Years,368
2025,Feb,CMC,40-44 Years,334
2025,Feb,CMC,45-49 Years,246
2025,Feb,CMC,50-54 Years,181
2025,Feb,CMC,55-59 Years,149
2025,Feb,CMC,60-64 Years,141
2025,Feb,CMC,65-69 Years,92
2025,Feb,CMC,70-74 Years,43
2025,Feb,CMC,75-79 Years,10
2025,Feb,CMC,80-84 Years,*
2025,Feb,CMC,85-89 Years,*
2025,Feb,CMC,90-94 Years,(Blank)
