facilityid,slug,name,first_seen,retired
10005283,washington-ridge-conservation-camp-44,Washington Ridge Conservation Camp #44,2026-07-16,
10005284,wayne-brown-correctional-facility,Wayne Brown Correctional Facility,2026-07-16,
10002325,west-county-detention-facility,West County Detention Facility,2026-07-16,
10006499,west-covina-jail,West Covina Jail,2026-07-16,
10005331,west-valley-detention-center,West Valley Detention Center,2026-07-16,
10000874,western-region-detention-facility,Western Region Detention Facility,2026-07-16,
10006500,whittier-jail,Whittier Jail,2026-07-16,
10005317,william-f-james-ranch,William F. James Ranch,2026-07-16,
10002316,yolo-county-juvenile-detention-facility,Yolo County Juvenile Detention Facility,2026-07-16,
10002317,yolo-county-monroe-detention-center,Yolo County Monroe Detention Center,2026-07-16,
10005345,youth-guidance-center,Youth Guidance Center,2026-07-16,
10005351,youth-leadership-academy,Youth Leadership Academy,2026-07-16,
10002313,yuba-county-jail,Yuba County Jail,2026-07-16,
10005278,yuba-sutter-county-juvenile-hall,Yuba - Sutter County Juvenile Hall,2026-07-16,
